./2gram-8980.csv-------------------
4,4459.0,11.1473069190979,3177231018.0,1.0,4460.0
5,1156.0,11.010598182678223,1122259253.0,1.0,1157.0
6,223.0,13.60600996017456,568471723.0,1.0,224.0
7,29.0,13.524385213851929,398535373.0,1.0,30.0
8,6.0,11.910003900527954,221788338.0,1.0,7.0
9,1.0,11.123745203018188,171801149.0,1.0,2.0
./3gram-8984.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,31819.0,15.085254907608032,26547785988.0,1.0,31820.0
1,19197.0,23.545814037322998,22462648537.0,1.0,19198.0
2,9224.0,26.803457021713257,11102967556.0,1.0,9225.0
3,4093.0,13.451656818389893,4884866954.0,1.0,4094.0
4,1601.0,12.344861030578613,2508542600.0,1.0,1602.0
5,558.0,15.933061838150024,981471461.0,1.0,559.0
6,155.0,11.901252031326294,489007761.0,1.0,156.0
7,39.0,14.165483951568604,288423095.0,1.0,40.0
8,0,0,0,0,0
./2gram-8985.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,56798.0,20.19698691368103,43360717045.0,1.0,56799.0
1,52397.0,17.955912351608276,46043986310.0,1.0,52398.0
2,38579.0,16.162286043167114,35299913805.0,1.0,38580.0
3,24861.0,19.644535064697266,21724681263.0,1.0,24862.0
4,14644.0,18.020089864730835,13253655149.0,1.0,14645.0
5,6989.0,16.558172941207886,8198632336.0,1.0,6990.0
6,2653.0,15.896843910217285,3374745488.0,1.0,2654.0
7,831.0,14.3319091796875,1514667120.0,1.0,832.0
8,161.0,14.295508861541748,352826936.0,1.0,162.0
9,17.0,16.89799928665161,231751586.0,1.0,18.0
./3gram-8985.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,44589.0,20.590651035308838,25499087770.0,1.0,44590.0
1,20571.0,18.453225135803223,14983596350.0,1.0,20572.0
2,8976.0,17.9156551361084,9368189864.0,1.0,8977.0
3,3934.0,17.639824151992798,4263772812.0,1.0,3935.0
4,1586.0,17.37272810935974,1863667520.0,1.0,1587.0
5,595.0,20.279640197753906,704213903.0,1.0,596.0
6,224.0,19.286497116088867,508181981.0,1.0,225.0
7,70.0,18.068718194961548,245778280.0,1.0,71.0
8,31.0,19.034485816955566,252711734.0,1.0,32.0
9,10.0,17.020957946777344,212364942.0,1.0,11.0
./4gram-8985.csv-------------------
id,narrow_count,elapsed_time,comparison,correct_count,count
0,26556.0,21.715154886245728,27470736357.0,1.0,26557.0
1,3067.0,23.7653329372406,4630780662.0,1.0,3068.0
2,1065.0,18.90049719810486,1699558619.0,1.0,1066.0
3,572.0,20.865365028381348,1175606450.0,1.0,573.0
